Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender,DayOfWeek
2025,June,Lumbini,Rupandehi,Rural,Junction,Night,Damage Only,Clear,Dry,Bus,50,Female,Tuesday
2023,December,Sudurpashchim,Kanchanpur,Urban,Straight,Night,Minor Injury,Clear,Slippery,Car,30,Male,Monday
2025,March,Sudurpashchim,Achham,Highway,Straight,Evening,Minor Injury,Rain,Wet,Car,80,Male,Sunday
2024,May,Sudurpashchim,Kailali,Highway,Junction,Evening,Damage Only,Clear,Damaged,Car,50,Male,Friday
2026,January,Bagmati,Kathmandu,Rural,Straight,Afternoon,Minor Injury,Fog,Dry,Jeep,80,Female,Saturday
2025,March,Karnali,Jumla,Highway,Straight,Morning,Serious Injury,Clear,Wet,Motorbike,80,Male,Saturday
2023,October,Gandaki,Kaski,Feeder,Straight,Evening,Serious Injury,Clear,Dry,Motorbike,50,Male,Thursday
2024,January,Koshi,Ilam,Urban,Junction,Night,Serious Injury,Clear,Wet,Car,50,Male,Wednesday
2023,February,Madhesh,Sarlahi,Urban,Straight,Afternoon,Minor Injury,Rain,Wet,Car,80,Male,Friday
2025,March,Bagmati,Chitwan,Highway,Junction,Evening,Serious Injury,Clear,Wet,Bus,50,Male,Monday
2023,April,Koshi,Ilam,Urban,Curve,Evening,Minor Injury,Rain,Wet,Jeep,30,Male,Friday
2024,May,Madhesh,Bara,Urban,Curve,Evening,Minor Injury,Clear,Damaged,Bus,30,Male,Saturday
2024,September,Bagmati,Kathmandu,Rural,Straight,Morning,Damage Only,Fog,Damaged,Motorbike,80,Female,Monday
2025,May,Lumbini,Kapilvastu,Rural,Junction,Morning,Minor Injury,Clear,Wet,Motorbike,50,Male,Monday
2023,February,Gandaki,Gorkha,Highway,Curve,Night,Minor Injury,Rain,Wet,Motorbike,30,Female,Tuesday
2023,April,Madhesh,Parsa,Urban,Curve,Evening,Minor Injury,Clear,Dry,Motorbike,80,Male,Saturday
2024,November,Gandaki,Tanahun,Rural,Junction,Morning,Damage Only,Dusty,Dry,Car,30,Male,Friday
2023,December,Bagmati,Bhaktapur,Rural,Straight,Night,Serious Injury,Dusty,Damaged,Car,50,Male,Thursday
2023,November,Sudurpashchim,Kanchanpur,Urban,Straight,Afternoon,Damage Only,Clear,Wet,Car,30,Female,Saturday
2023,April,Koshi,Jhapa,Urban,Curve,Night,Serious Injury,Clear,Slippery,Car,50,Male,Saturday
2025,March,Sudurpashchim,Doti,Highway,Straight,Night,Serious Injury,Dusty,Damaged,Car,30,Male,Sunday
2025,August,Lumbini,Dang,Highway,Junction,Afternoon,Damage Only,Clear,Damaged,Bus,80,Male,Wednesday
2023,July,Koshi,Jhapa,Rural,Straight,Evening,Damage Only,Clear,Damaged,Motorbike,30,Female,Tuesday
2024,April,Lumbini,Rupandehi,Urban,Junction,Afternoon,Serious Injury,Fog,Slippery,Car,50,Male,Tuesday
2023,September,Lumbini,Rupandehi,Rural,Junction,Morning,Fatal,Clear,Dry,Car,50,Other,Sunday
2025,December,Karnali,Jumla,Highway,Junction,Night,Minor Injury,Clear,Dry,Truck,80,Male,Tuesday
2024,March,Madhesh,Parsa,Urban,Straight,Morning,Minor Injury,Clear,Damaged,Bus,50,Female,Saturday
2023,November,Lumbini,Banke,Urban,Straight,Night,Damage Only,Clear,Damaged,Car,80,Female,Thursday
2025,July,Karnali,Dailekh,Feeder,Straight,Evening,Minor Injury,Clear,Wet,Car,50,Female,Friday
2024,July,Karnali,Kalikot,Highway,Straight,Evening,Damage Only,Rain,Wet,Jeep,30,Male,Tuesday
2024,September,Bagmati,Chitwan,Highway,Straight,Evening,Minor Injury,Fog,Dry,Car,30,Female,Saturday
2024,December,Bagmati,Chitwan,Urban,Curve,Afternoon,Damage Only,Rain,Wet,Scooter,50,Female,Sunday
2024,May,Karnali,Kalikot,Feeder,Junction,Evening,Damage Only,Clear,Damaged,Bus,80,Male,Monday
2024,June,Karnali,Surkhet,Urban,Straight,Night,Damage Only,Rain,Wet,Car,50,Male,Thursday
2025,April,Madhesh,Bara,Feeder,Straight,Morning,Fatal,Clear,Damaged,Microbus,30,Male,Saturday
2024,March,Lumbini,Dang,Highway,Straight,Afternoon,Serious Injury,Rain,Wet,Motorbike,30,Male,Wednesday
2024,July,Gandaki,Kaski,Urban,Straight,Afternoon,Minor Injury,Clear,Dry,Microbus,80,Male,Friday
2024,December,Koshi,Sunsari,Rural,Junction,Afternoon,Minor Injury,Clear,Wet,Bus,50,Male,Sunday
2024,August,Koshi,Morang,Rural,Junction,Evening,Serious Injury,Fog,Dry,Motorbike,50,Male,Friday
2025,February,Lumbini,Kapilvastu,Highway,Straight,Night,Minor Injury,Clear,Wet,Car,30,Female,Saturday
2023,September,Gandaki,Gorkha,Urban,Curve,Morning,Minor Injury,Rain,Wet,Car,30,Male,Monday
2023,January,Koshi,Jhapa,Urban,Straight,Afternoon,Fatal,Clear,Damaged,Scooter,50,Female,Thursday
2023,January,Bagmati,Chitwan,Rural,Junction,Afternoon,Minor Injury,Fog,Dry,Car,30,Male,Friday
2023,August,Koshi,Jhapa,Highway,Straight,Morning,Fatal,Clear,Dry,Bus,50,Male,Thursday
2024,February,Karnali,Dailekh,Highway,Curve,Morning,Fatal,Rain,Wet,Car,50,Male,Monday
2023,April,Gandaki,Tanahun,Highway,Junction,Night,Minor Injury,Clear,Slippery,Motorbike,50,Male,Thursday
2025,October,Karnali,Kalikot,Highway,Straight,Evening,Minor Injury,Fog,Dry,Car,80,Male,Wednesday
2025,March,Madhesh,Rautahat,Rural,Straight,Afternoon,Damage Only,Rain,Wet,Motorbike,80,Male,Friday
2023,January,Bagmati,Lalitpur,Feeder,Junction,Evening,Minor Injury,Clear,Slippery,Motorbike,80,Male,Friday
2025,February,Sudurpashchim,Kanchanpur,Urban,Curve,Afternoon,Damage Only,Clear,Slippery,Motorbike,30,Male,Tuesday
2024,July,Karnali,Jumla,Rural,Straight,Evening,Damage Only,Clear,Wet,Truck,30,Female,Saturday
2025,August,Lumbini,Banke,Feeder,Curve,Morning,Minor Injury,Clear,Slippery,Bus,50,Male,Saturday
2024,September,Koshi,Morang,Highway,Junction,Afternoon,Minor Injury,Dusty,Dry,Microbus,50,Male,Friday
2025,February,Lumbini,Banke,Rural,Straight,Morning,Minor Injury,Clear,Dry,Car,30,Male,Wednesday
2024,December,Madhesh,Sarlahi,Urban,Straight,Evening,Minor Injury,Clear,Slippery,Scooter,30,Male,Monday
2025,September,Karnali,Kalikot,Feeder,Straight,Morning,Minor Injury,Fog,Damaged,Truck,80,Male,Tuesday
2024,February,Bagmati,Lalitpur,Urban,Straight,Night,Serious Injury,Clear,Damaged,Motorbike,30,Male,Sunday
2026,January,Karnali,Jumla,Highway,Junction,Night,Minor Injury,Clear,Damaged,Motorbike,30,Male,Thursday
2024,February,Karnali,Kalikot,Highway,Junction,Night,Serious Injury,Rain,Wet,Motorbike,80,Female,Monday
2025,December,Gandaki,Kaski,Urban,Junction,Evening,Minor Injury,Clear,Wet,Motorbike,30,Male,Tuesday
2023,March,Madhesh,Sarlahi,Urban,Junction,Evening,Minor Injury,Clear,Damaged,Car,80,Female,Wednesday
2024,December,Lumbini,Kapilvastu,Urban,Straight,Morning,Fatal,Clear,Damaged,Motorbike,50,Male,Saturday
2024,March,Karnali,Kalikot,Highway,Straight,Evening,Minor Injury,Clear,Slippery,Motorbike,50,Male,Friday
2025,August,Koshi,Sunsari,Feeder,Straight,Morning,Damage Only,Clear,Slippery,Car,50,Male,Saturday
2025,January,Madhesh,Bara,Urban,Straight,Morning,Minor Injury,Rain,Wet,Motorbike,50,Male,Saturday
2025,December,Karnali,Surkhet,Highway,Curve,Morning,Minor Injury,Clear,Dry,Scooter,30,Male,Sunday
2025,February,Sudurpashchim,Doti,Rural,Straight,Night,Serious Injury,Clear,Dry,Car,50,Male,Thursday
2025,July,Bagmati,Chitwan,Urban,Straight,Morning,Minor Injury,Fog,Wet,Car,80,Male,Thursday
2023,July,Sudurpashchim,Kanchanpur,Highway,Roundabout,Afternoon,Serious Injury,Clear,Dry,Truck,30,Female,Friday
2026,January,Madhesh,Rautahat,Rural,Junction,Morning,Damage Only,Dusty,Dry,Scooter,30,Male,Friday
2024,September,Karnali,Dailekh,Highway,Straight,Evening,Minor Injury,Clear,Slippery,Car,50,Female,Sunday
2025,March,Bagmati,Bhaktapur,Rural,Junction,Night,Damage Only,Clear,Wet,Truck,30,Male,Sunday
2025,May,Gandaki,Gorkha,Urban,Curve,Night,Minor Injury,Clear,Dry,Motorbike,80,Male,Thursday
2023,February,Lumbini,Banke,Highway,Straight,Morning,Minor Injury,Clear,Slippery,Motorbike,50,Male,Saturday
2023,February,Sudurpashchim,Kailali,Highway,Straight,Evening,Minor Injury,Rain,Wet,Car,30,Male,Sunday
2025,January,Koshi,Jhapa,Urban,Curve,Night,Minor Injury,Rain,Wet,Jeep,80,Female,Wednesday
2023,July,Madhesh,Sarlahi,Highway,Straight,Morning,Serious Injury,Clear,Damaged,Motorbike,50,Male,Tuesday
2023,January,Karnali,Surkhet,Highway,Curve,Morning,Serious Injury,Clear,Damaged,Microbus,30,Male,Wednesday
2024,March,Karnali,Surkhet,Feeder,Straight,Evening,Damage Only,Clear,Dry,Motorbike,80,Male,Thursday
2025,December,Madhesh,Sarlahi,Rural,Straight,Afternoon,Minor Injury,Clear,Damaged,Car,50,Male,Friday
2023,September,Sudurpashchim,Kanchanpur,Urban,Junction,Afternoon,Minor Injury,Clear,Damaged,Motorbike,80,Male,Friday
2024,January,Sudurpashchim,Doti,Rural,Straight,Afternoon,Serious Injury,Clear,Slippery,Truck,30,Male,Friday
2024,December,Madhesh,Rautahat,Highway,Straight,Evening,Minor Injury,Clear,Damaged,Bus,30,Female,Monday
2025,September,Bagmati,Bhaktapur,Rural,Roundabout,Evening,Serious Injury,Clear,Wet,Truck,30,Female,Tuesday
2024,October,Gandaki,Tanahun,Rural,Straight,Night,Minor Injury,Rain,Wet,Motorbike,80,Male,Thursday
2025,December,Gandaki,Gorkha,Rural,Junction,Evening,Damage Only,Dusty,Damaged,Jeep,50,Male,Saturday
2024,November,Sudurpashchim,Doti,Feeder,Junction,Afternoon,Damage Only,Clear,Damaged,Motorbike,30,Male,Thursday
2025,July,Karnali,Jumla,Rural,Straight,Afternoon,Damage Only,Clear,Damaged,Motorbike,50,Male,Monday
2024,May,Karnali,Kalikot,Urban,Straight,Night,Serious Injury,Clear,Slippery,Car,80,Male,Wednesday
2024,July,Madhesh,Sarlahi,Highway,Straight,Evening,Serious Injury,Dusty,Wet,Car,30,Male,Friday
2025,November,Madhesh,Sarlahi,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male,Saturday
2024,June,Koshi,Ilam,Urban,Roundabout,Evening,Minor Injury,Dusty,Dry,Motorbike,30,Male,Wednesday
2024,November,Bagmati,Kathmandu,Rural,Straight,Evening,Minor Injury,Fog,Dry,Motorbike,80,Male,Wednesday
2023,September,Gandaki,Lamjung,Urban,Roundabout,Night,Minor Injury,Fog,Damaged,Motorbike,30,Male,Thursday
2025,June,Bagmati,Chitwan,Urban,Straight,Afternoon,Minor Injury,Fog,Slippery,Microbus,80,Male,Tuesday
2023,August,Madhesh,Rautahat,Highway,Straight,Night,Minor Injury,Clear,Wet,Microbus,80,Male,Tuesday
2024,January,Gandaki,Gorkha,Feeder,Junction,Afternoon,Damage Only,Rain,Wet,Motorbike,30,Male,Saturday
2023,January,Bagmati,Bhaktapur,Rural,Junction,Evening,Minor Injury,Clear,Slippery,Truck,50,Male,Friday
2023,January,Sudurpashchim,Kailali,Feeder,Junction,Evening,Serious Injury,Clear,Damaged,Scooter,30,Female,Sunday
2023,October,Lumbini,Banke,Rural,Straight,Morning,Minor Injury,Clear,Damaged,Scooter,50,Female,Tuesday
2025,October,Gandaki,Tanahun,Highway,Straight,Afternoon,Minor Injury,Dusty,Wet,Jeep,80,Female,Friday
2024,February,Madhesh,Sarlahi,Highway,Junction,Afternoon,Minor Injury,Dusty,Slippery,Car,50,Female,Monday
2024,November,Sudurpashchim,Doti,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Motorbike,50,Male,Thursday
2023,July,Karnali,Dailekh,Urban,Straight,Evening,Minor Injury,Clear,Dry,Jeep,30,Female,Friday
2025,September,Koshi,Morang,Urban,Straight,Morning,Minor Injury,Clear,Slippery,Car,30,Male,Sunday
2023,January,Madhesh,Sarlahi,Urban,Junction,Evening,Minor Injury,Clear,Dry,Car,50,Male,Thursday
2025,December,Bagmati,Lalitpur,Rural,Straight,Evening,Serious Injury,Clear,Dry,Motorbike,80,Male,Monday
2023,November,Koshi,Ilam,Highway,Junction,Night,Serious Injury,Clear,Slippery,Bus,30,Male,Thursday
2025,January,Koshi,Morang,Rural,Straight,Evening,Minor Injury,Rain,Wet,Car,80,Male,Saturday
2024,December,Bagmati,Bhaktapur,Rural,Straight,Evening,Minor Injury,Clear,Wet,Truck,30,Male,Sunday
2024,August,Karnali,Dailekh,Highway,Curve,Night,Minor Injury,Rain,Wet,Motorbike,80,Other,Monday
2024,February,Karnali,Surkhet,Highway,Junction,Morning,Serious Injury,Clear,Damaged,Car,50,Male,Monday
2024,November,Gandaki,Kaski,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Motorbike,30,Male,Monday
2024,May,Karnali,Dailekh,Urban,Junction,Night,Fatal,Clear,Dry,Scooter,30,Male,Friday
2025,September,Karnali,Dailekh,Rural,Straight,Afternoon,Serious Injury,Rain,Wet,Motorbike,80,Female,Thursday
2023,December,Karnali,Surkhet,Highway,Straight,Afternoon,Serious Injury,Clear,Wet,Motorbike,50,Male,Saturday
2023,August,Sudurpashchim,Kanchanpur,Highway,Junction,Evening,Minor Injury,Clear,Wet,Truck,50,Female,Tuesday
2023,September,Bagmati,Bhaktapur,Feeder,Junction,Morning,Serious Injury,Clear,Wet,Car,80,Female,Wednesday
2023,January,Lumbini,Dang,Urban,Junction,Evening,Damage Only,Rain,Wet,Scooter,50,Male,Wednesday
2023,October,Sudurpashchim,Achham,Highway,Straight,Afternoon,Minor Injury,Clear,Dry,Motorbike,50,Male,Sunday
2024,July,Madhesh,Parsa,Feeder,Junction,Morning,Damage Only,Clear,Slippery,Truck,50,Male,Wednesday
2023,February,Lumbini,Banke,Rural,Junction,Afternoon,Damage Only,Clear,Dry,Car,50,Male,Friday
2023,October,Karnali,Kalikot,Urban,Straight,Afternoon,Minor Injury,Rain,Wet,Motorbike,80,Male,Saturday
2023,March,Bagmati,Chitwan,Rural,Straight,Evening,Damage Only,Clear,Damaged,Motorbike,50,Female,Sunday
2025,January,Koshi,Ilam,Rural,Straight,Morning,Serious Injury,Rain,Wet,Bus,80,Male,Tuesday
2023,February,Madhesh,Parsa,Feeder,Straight,Night,Serious Injury,Clear,Dry,Scooter,30,Male,Thursday
2024,April,Koshi,Sunsari,Rural,Straight,Night,Damage Only,Clear,Dry,Microbus,30,Female,Monday
2023,July,Karnali,Kalikot,Highway,Junction,Morning,Minor Injury,Rain,Wet,Scooter,30,Female,Wednesday
2023,April,Lumbini,Rupandehi,Rural,Junction,Morning,Minor Injury,Clear,Slippery,Car,50,Male,Monday
2025,April,Gandaki,Gorkha,Highway,Curve,Evening,Damage Only,Rain,Wet,Motorbike,50,Male,Monday
2025,September,Koshi,Sunsari,Urban,Straight,Afternoon,Serious Injury,Fog,Damaged,Car,30,Male,Tuesday
2025,November,Koshi,Sunsari,Highway,Junction,Night,Serious Injury,Clear,Slippery,Car,30,Female,Wednesday
2023,February,Karnali,Kalikot,Urban,Straight,Afternoon,Damage Only,Clear,Dry,Truck,30,Male,Wednesday
2025,May,Sudurpashchim,Kailali,Rural,Straight,Evening,Damage Only,Rain,Wet,Car,50,Male,Friday
2024,November,Gandaki,Gorkha,Rural,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male,Tuesday
2024,October,Lumbini,Kapilvastu,Rural,Straight,Night,Minor Injury,Rain,Wet,Microbus,80,Male,Wednesday
2024,May,Sudurpashchim,Doti,Highway,Straight,Afternoon,Serious Injury,Dusty,Wet,Motorbike,50,Male,Friday
2025,September,Sudurpashchim,Kailali,Urban,Straight,Evening,Minor Injury,Clear,Dry,Scooter,30,Male,Friday
2025,August,Koshi,Morang,Rural,Straight,Morning,Minor Injury,Clear,Slippery,Bus,80,Female,Friday
2024,May,Madhesh,Bara,Highway,Straight,Evening,Damage Only,Clear,Slippery,Motorbike,50,Male,Sunday
2024,June,Karnali,Dailekh,Urban,Roundabout,Afternoon,Minor Injury,Fog,Slippery,Motorbike,80,Male,Saturday
2024,February,Bagmati,Chitwan,Urban,Straight,Afternoon,Damage Only,Fog,Wet,Car,80,Male,Friday
2025,July,Karnali,Surkhet,Highway,Straight,Night,Minor Injury,Clear,Slippery,Microbus,30,Male,Sunday
2023,October,Sudurpashchim,Achham,Urban,Junction,Evening,Serious Injury,Clear,Slippery,Car,50,Female,Friday
2025,May,Gandaki,Gorkha,Highway,Straight,Morning,Damage Only,Clear,Damaged,Car,50,Male,Tuesday
2023,October,Madhesh,Rautahat,Urban,Curve,Night,Fatal,Clear,Damaged,Car,30,Male,Thursday
2025,January,Lumbini,Dang,Rural,Straight,Morning,Minor Injury,Clear,Dry,Motorbike,30,Female,Friday
2025,December,Sudurpashchim,Doti,Urban,Curve,Morning,Serious Injury,Rain,Wet,Motorbike,50,Male,Thursday
2024,May,Madhesh,Parsa,Highway,Junction,Afternoon,Fatal,Clear,Damaged,Jeep,80,Male,Thursday
2025,February,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Scooter,30,Female,Friday
2024,October,Gandaki,Lamjung,Highway,Straight,Afternoon,Fatal,Clear,Damaged,Truck,30,Female,Wednesday
2025,April,Sudurpashchim,Kanchanpur,Feeder,Junction,Afternoon,Minor Injury,Rain,Wet,Jeep,50,Female,Wednesday
2023,February,Sudurpashchim,Doti,Highway,Curve,Afternoon,Serious Injury,Clear,Dry,Jeep,50,Female,Monday
2024,November,Karnali,Surkhet,Urban,Junction,Morning,Serious Injury,Clear,Dry,Motorbike,80,Male,Thursday
2023,March,Gandaki,Gorkha,Highway,Straight,Afternoon,Minor Injury,Clear,Wet,Scooter,30,Male,Tuesday
2025,March,Gandaki,Gorkha,Feeder,Straight,Afternoon,Damage Only,Clear,Slippery,Motorbike,30,Female,Sunday
2024,August,Bagmati,Lalitpur,Urban,Straight,Night,Minor Injury,Clear,Dry,Motorbike,50,Male,Thursday
2023,November,Lumbini,Banke,Urban,Curve,Evening,Fatal,Clear,Damaged,Truck,30,Female,Monday
2025,May,Sudurpashchim,Kailali,Feeder,Junction,Afternoon,Serious Injury,Rain,Wet,Car,30,Female,Friday
2023,September,Madhesh,Bara,Urban,Straight,Morning,Damage Only,Rain,Wet,Scooter,80,Male,Monday
2024,January,Madhesh,Bara,Highway,Straight,Morning,Minor Injury,Clear,Dry,Truck,30,Male,Tuesday
2025,November,Karnali,Dailekh,Highway,Junction,Afternoon,Minor Injury,Rain,Wet,Car,30,Male,Sunday
2023,November,Madhesh,Rautahat,Highway,Straight,Afternoon,Minor Injury,Clear,Wet,Car,50,Male,Thursday
2024,January,Gandaki,Kaski,Highway,Straight,Afternoon,Damage Only,Clear,Slippery,Microbus,30,Female,Wednesday
2024,September,Madhesh,Bara,Feeder,Junction,Night,Minor Injury,Fog,Dry,Motorbike,50,Male,Monday
2024,April,Sudurpashchim,Kanchanpur,Urban,Junction,Morning,Minor Injury,Rain,Wet,Car,30,Male,Tuesday
2024,March,Koshi,Ilam,Rural,Straight,Afternoon,Minor Injury,Dusty,Dry,Truck,50,Female,Sunday
2025,October,Gandaki,Kaski,Urban,Curve,Evening,Damage Only,Clear,Dry,Car,30,Male,Wednesday
2023,June,Bagmati,Bhaktapur,Highway,Straight,Afternoon,Serious Injury,Rain,Wet,Motorbike,50,Male,Friday
2025,October,Madhesh,Parsa,Highway,Roundabout,Afternoon,Damage Only,Clear,Dry,Motorbike,30,Male,Saturday
2024,February,Bagmati,Kathmandu,Highway,Straight,Evening,Serious Injury,Dusty,Slippery,Bus,30,Male,Friday
2023,March,Bagmati,Lalitpur,Urban,Junction,Night,Damage Only,Clear,Wet,Motorbike,80,Female,Wednesday
2023,December,Gandaki,Tanahun,Highway,Curve,Afternoon,Minor Injury,Clear,Dry,Jeep,30,Male,Saturday
2023,August,Lumbini,Kapilvastu,Feeder,Curve,Afternoon,Serious Injury,Clear,Slippery,Jeep,50,Male,Saturday
2024,October,Koshi,Morang,Rural,Straight,Night,Minor Injury,Clear,Dry,Motorbike,80,Female,Saturday
2024,August,Bagmati,Lalitpur,Urban,Curve,Evening,Minor Injury,Clear,Dry,Motorbike,50,Male,Monday
2024,July,Lumbini,Dang,Urban,Straight,Afternoon,Serious Injury,Fog,Slippery,Car,30,Male,Saturday
2024,March,Gandaki,Kaski,Urban,Straight,Night,Minor Injury,Clear,Slippery,Car,80,Female,Friday
2024,October,Karnali,Surkhet,Rural,Straight,Evening,Minor Injury,Clear,Slippery,Scooter,30,Male,Monday
2023,September,Koshi,Sunsari,Rural,Straight,Night,Serious Injury,Rain,Wet,Car,80,Female,Saturday
2024,March,Madhesh,Parsa,Highway,Roundabout,Night,Minor Injury,Clear,Wet,Car,50,Male,Monday
2024,August,Karnali,Dailekh,Urban,Junction,Evening,Minor Injury,Clear,Damaged,Motorbike,30,Male,Tuesday
2023,November,Gandaki,Lamjung,Highway,Curve,Evening,Fatal,Clear,Dry,Scooter,50,Male,Thursday
2024,September,Sudurpashchim,Achham,Rural,Straight,Night,Damage Only,Rain,Wet,Motorbike,30,Male,Saturday
2024,May,Koshi,Ilam,Highway,Curve,Morning,Damage Only,Clear,Wet,Motorbike,80,Male,Sunday
2024,March,Madhesh,Sarlahi,Highway,Junction,Evening,Serious Injury,Clear,Wet,Motorbike,80,Male,Sunday
2023,June,Gandaki,Kaski,Highway,Curve,Evening,Minor Injury,Rain,Wet,Motorbike,30,Male,Saturday
2023,April,Sudurpashchim,Doti,Highway,Curve,Morning,Minor Injury,Fog,Slippery,Bus,30,Male,Friday
2025,December,Madhesh,Bara,Highway,Straight,Evening,Minor Injury,Clear,Wet,Motorbike,80,Female,Tuesday
2024,October,Sudurpashchim,Kailali,Rural,Junction,Evening,Fatal,Clear,Damaged,Motorbike,30,Female,Wednesday
2024,June,Madhesh,Parsa,Urban,Straight,Afternoon,Serious Injury,Clear,Wet,Motorbike,80,Male,Sunday
2023,February,Bagmati,Bhaktapur,Highway,Junction,Morning,Serious Injury,Clear,Damaged,Car,50,Male,Tuesday
2024,December,Bagmati,Kathmandu,Feeder,Junction,Evening,Serious Injury,Dusty,Wet,Car,30,Female,Wednesday
2025,March,Gandaki,Lamjung,Highway,Straight,Evening,Minor Injury,Dusty,Damaged,Car,30,Male,Monday
2024,December,Madhesh,Sarlahi,Feeder,Curve,Morning,Serious Injury,Clear,Dry,Motorbike,50,Female,Thursday
2023,January,Gandaki,Lamjung,Highway,Straight,Evening,Minor Injury,Clear,Slippery,Scooter,80,Male,Friday
2024,May,Sudurpashchim,Achham,Highway,Straight,Morning,Serious Injury,Clear,Wet,Scooter,50,Male,Thursday
2023,May,Bagmati,Bhaktapur,Urban,Straight,Morning,Minor Injury,Rain,Wet,Car,30,Male,Friday
2023,August,Karnali,Dailekh,Highway,Junction,Afternoon,Serious Injury,Clear,Damaged,Motorbike,50,Female,Wednesday
2023,October,Bagmati,Kathmandu,Feeder,Curve,Evening,Serious Injury,Clear,Slippery,Motorbike,30,Male,Sunday
2024,February,Madhesh,Parsa,Feeder,Junction,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Male,Tuesday
2023,November,Gandaki,Kaski,Highway,Roundabout,Afternoon,Fatal,Clear,Damaged,Motorbike,80,Male,Wednesday
2023,October,Karnali,Kalikot,Urban,Straight,Afternoon,Damage Only,Rain,Wet,Bus,50,Male,Saturday
2023,September,Gandaki,Lamjung,Urban,Straight,Evening,Minor Injury,Clear,Damaged,Car,80,Male,Sunday
2025,June,Lumbini,Rupandehi,Rural,Straight,Night,Minor Injury,Clear,Damaged,Motorbike,80,Male,Sunday
2023,March,Lumbini,Dang,Highway,Junction,Afternoon,Minor Injury,Fog,Wet,Bus,80,Other,Monday
2024,March,Madhesh,Parsa,Rural,Junction,Night,Fatal,Clear,Dry,Motorbike,50,Male,Friday
2025,August,Koshi,Jhapa,Highway,Curve,Night,Minor Injury,Clear,Wet,Scooter,50,Male,Tuesday
2025,April,Koshi,Ilam,Rural,Junction,Afternoon,Minor Injury,Clear,Dry,Scooter,30,Female,Friday
2024,December,Gandaki,Kaski,Highway,Straight,Morning,Damage Only,Clear,Damaged,Motorbike,80,Male,Monday
2025,May,Koshi,Ilam,Highway,Junction,Morning,Minor Injury,Clear,Dry,Car,80,Male,Friday
2024,July,Gandaki,Tanahun,Highway,Junction,Morning,Fatal,Clear,Dry,Motorbike,50,Male,Saturday
2025,January,Lumbini,Banke,Urban,Roundabout,Morning,Minor Injury,Clear,Damaged,Truck,30,Female,Thursday
2024,December,Bagmati,Lalitpur,Feeder,Junction,Afternoon,Fatal,Clear,Dry,Motorbike,30,Female,Tuesday
2024,October,Koshi,Sunsari,Urban,Curve,Evening,Minor Injury,Clear,Wet,Motorbike,30,Male,Sunday
2023,February,Gandaki,Gorkha,Rural,Straight,Night,Minor Injury,Clear,Damaged,Truck,50,Male,Saturday
2025,January,Bagmati,Lalitpur,Urban,Straight,Afternoon,Damage Only,Fog,Dry,Motorbike,50,Male,Saturday
2024,November,Gandaki,Gorkha,Rural,Straight,Morning,Minor Injury,Clear,Slippery,Motorbike,30,Female,Thursday
2024,June,Bagmati,Bhaktapur,Rural,Junction,Afternoon,Minor Injury,Clear,Damaged,Scooter,80,Male,Thursday
2025,September,Sudurpashchim,Kanchanpur,Urban,Straight,Morning,Minor Injury,Clear,Wet,Car,30,Male,Saturday
2025,October,Karnali,Kalikot,Urban,Curve,Afternoon,Minor Injury,Clear,Wet,Motorbike,50,Male,Monday
2023,October,Bagmati,Kathmandu,Highway,Straight,Afternoon,Minor Injury,Clear,Damaged,Motorbike,30,Male,Monday
2023,August,Bagmati,Bhaktapur,Urban,Junction,Afternoon,Minor Injury,Dusty,Wet,Scooter,50,Male,Tuesday
2025,June,Sudurpashchim,Kanchanpur,Highway,Junction,Afternoon,Minor Injury,Fog,Damaged,Car,30,Male,Thursday
2025,August,Madhesh,Parsa,Rural,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,50,Male,Thursday
2023,October,Sudurpashchim,Kailali,Urban,Junction,Night,Serious Injury,Clear,Dry,Car,30,Male,Tuesday
2024,May,Bagmati,Kathmandu,Rural,Junction,Afternoon,Serious Injury,Clear,Slippery,Car,50,Male,Saturday
2023,July,Madhesh,Bara,Urban,Curve,Morning,Serious Injury,Clear,Slippery,Motorbike,50,Male,Saturday
2023,December,Bagmati,Kathmandu,Urban,Junction,Night,Minor Injury,Clear,Wet,Motorbike,80,Male,Sunday
2023,August,Gandaki,Tanahun,Urban,Curve,Night,Fatal,Clear,Wet,Jeep,30,Male,Sunday
2025,January,Koshi,Jhapa,Urban,Roundabout,Afternoon,Fatal,Clear,Damaged,Motorbike,30,Male,Sunday
2024,March,Karnali,Surkhet,Rural,Curve,Morning,Minor Injury,Clear,Dry,Truck,50,Male,Thursday
2024,October,Bagmati,Bhaktapur,Highway,Junction,Morning,Fatal,Rain,Wet,Motorbike,50,Male,Wednesday
2023,October,Madhesh,Sarlahi,Highway,Straight,Morning,Serious Injury,Clear,Wet,Motorbike,80,Male,Thursday
